9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06075902655720711, -0.10943065583705902, 0.6630000472068787]
15, [-0.0034096294548362494, -0.1153024211525917, 0.6510000228881836]
16, [NaN, NaN, NaN]
17, [0.08150371164083481, -0.10043437778949738, 0.7200000286102295]
0, [-0.045663535594940186, -0.07575897127389908, 0.6285000443458557]
1, [0.054944347590208054, 0.11015549302101135, 0.6677500605583191]
2, [-0.10917417705059052, 0.14756114780902863, 0.8007500171661377]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20005729794502258, 0.08635658770799637, 0.609250009059906]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.061308879405260086, -0.11042097955942154, 0.6690000295639038]
15, [-0.003412248333916068, -0.11539097875356674, 0.6515000462532043]
16, [NaN, NaN, NaN]
17, [0.0813056156039238, -0.10019026696681976, 0.718250036239624]
0, [-0.04553638771176338, -0.07554803043603897, 0.6267500519752502]
1, [0.054882634431123734, 0.11003176867961884, 0.6670000553131104]
2, [-0.1092764362692833, 0.14769935607910156, 0.8015000224113464]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.2006935179233551, 0.08253787457942963, 0.6112500429153442]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.061652541160583496, -0.11103993654251099, 0.6727500557899475]
15, [-0.003376895096153021, -0.11419545114040375, 0.6447500586509705]
16, [NaN, NaN, NaN]
17, [0.08141881227493286, -0.10032975673675537, 0.7192500233650208]
0, [-0.04548189789056778, -0.0754576250910759, 0.6260000467300415]
1, [0.054882634431123734, 0.11003176867961884, 0.6670000553131104]
2, [-0.10948853194713593, 0.14352746307849884, 0.8032500147819519]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20063194632530212, 0.08660463988780975, 0.6110000014305115]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06217948719859123, -0.11198899149894714, 0.6785000562667847]
15, [-0.003443673253059387, -0.11645366996526718, 0.6575000286102295]
16, [NaN, NaN, NaN]
17, [0.0779927521944046, -0.10104837268590927, 0.7245000600814819]
0, [-0.04577251896262169, -0.07593978196382523, 0.6300000548362732]
1, [0.0551031157374382, 0.11492843925952911, 0.6695000529289246]
2, [-0.10336874425411224, 0.14246922731399536, 0.7975000143051147]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20054985582828522, 0.08656920492649078, 0.6107500195503235]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06211075559258461, -0.11186520010232925, 0.6777500510215759]
15, [-0.003428364172577858, -0.11163249611854553, 0.6550000309944153]
16, [NaN, NaN, NaN]
17, [0.08194271475076675, -0.09697048366069794, 0.7240000367164612]
0, [-0.04586333408951759, -0.07609045505523682, 0.6312500238418579]
1, [0.05483562499284744, 0.11437053233385086, 0.6662500500679016]
2, [-0.10401682555675507, 0.14336244761943817, 0.8025000095367432]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20085766911506653, 0.08260539174079895, 0.6117500066757202]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06243150308728218, -0.11244288831949234, 0.6812500357627869]
15, [-0.0034214139450341463, -0.11570093035697937, 0.6532500386238098]
16, [NaN, NaN, NaN]
17, [0.07831569761037827, -0.10146678984165192, 0.7275000214576721]
0, [-0.04582700505852699, -0.0760301798582077, 0.6307500004768372]
1, [0.05510891228914261, 0.11048541963100433, 0.6697500348091125]
2, [-0.10995813459157944, 0.14862075448036194, 0.8065000176429749]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.2005293369293213, 0.0824703574180603, 0.6107500195503235]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.061950381845235825, -0.11157635599374771, 0.6760000586509705]
15, [-0.0034161764197051525, -0.1155238151550293, 0.6522500514984131]
16, [NaN, NaN, NaN]
17, [0.07761596888303757, -0.10056021064519882, 0.7210000157356262]
0, [-0.04587307572364807, -0.07261985540390015, 0.6315000057220459]
1, [0.05121590569615364, 0.11453020572662354, 0.6672500371932983]
2, [-0.10343355685472488, 0.14255854487419128, 0.7980000376701355]
3, [NaN, NaN, NaN]
4, [NaN, NaN, NaN]
5, [0.20063194632530212, 0.08660463988780975, 0.6110000014305115]
6, [NaN, NaN, NaN]
7, [NaN, NaN, NaN]
8, [NaN, NaN, NaN]
9, [NaN, NaN, NaN]
10, [NaN, NaN, NaN]
11, [NaN, NaN, NaN]
12, [NaN, NaN, NaN]
13, [NaN, NaN, NaN]
14, [-0.06121723726391792, -0.11025592684745789, 0.6680000424385071]
15, [-0.0033995762933045626, -0.11069512367248535, 0.6495000123977661]
16, [NaN, NaN, NaN]
17, [0.0772930234670639, -0.10014179348945618, 0.718000054359436]
0, [-0.04582700505852699, -0.0760301798582077, 0.6307500004768372]
1, [0.0513310432434082, 0.11478767544031143, 0.6687500476837158]
